Agent,Alpha,Gamma,Loss%
QLearning,0.1,0.9,0.2968
SARSA,0.1,0.9,0.2916
QLearning,0.1,0.95,0.2668
SARSA,0.1,0.95,0.282
QLearning,0.1,0.99,0.2764
SARSA,0.1,0.99,0.2772
QLearning,0.3,0.9,0.3004
SARSA,0.3,0.9,0.276
QLearning,0.3,0.95,0.2872
SARSA,0.3,0.95,0.2888
QLearning,0.3,0.99,0.2852
SARSA,0.3,0.99,0.2912
QLearning,0.5,0.9,0.2936
SARSA,0.5,0.9,0.2848
QLearning,0.5,0.95,0.2952
SARSA,0.5,0.95,0.2744
QLearning,0.5,0.99,0.2888
SARSA,0.5,0.99,0.2852
QLearning,0.9,0.9,0.3032
SARSA,0.9,0.9,0.2956
QLearning,0.9,0.95,0.288
SARSA,0.9,0.95,0.2844
QLearning,0.9,0.99,0.2964
SARSA,0.9,0.99,0.2896
